dobyear,title,Average Salary,number of Employees
1956,Assistant Engineer,48325,453
1957,Assistant Engineer,49103,452
1958,Assistant Engineer,48323,427
1959,Assistant Engineer,48775,457
1960,Assistant Engineer,48149,425
1961,Assistant Engineer,48493,481
1962,Assistant Engineer,49024,428
1963,Assistant Engineer,48688,475
1964,Assistant Engineer,48377,435
1965,Assistant Engineer,47976,41
1956,Engineer,48244,3690
1957,Engineer,48377,3583
1958,Engineer,48661,3640
1959,Engineer,48764,3663
1960,Engineer,48499,3683
1961,Engineer,48438,3660
1962,Engineer,48590,3635
1963,Engineer,48538,3697
1964,Engineer,48749,3548
1965,Engineer,49998,286
1957,Manager,52070,1
1958,Manager,40000,1
1960,Manager,42585,2
1963,Manager,54971,2
1964,Manager,40000,1
1956,Senior Engineer,48467,7440
1957,Senior Engineer,48526,7328
1958,Senior Engineer,48565,7615
1959,Senior Engineer,48432,7707
1960,Senior Engineer,48583,7554
1961,Senior Engineer,48487,7536
1962,Senior Engineer,48527,7620
1963,Senior Engineer,48526,7420
1964,Senior Engineer,48612,7499
1965,Senior Engineer,48308,610
1956,Senior Staff,58670,6973
1957,Senior Staff,58410,7089
1958,Senior Staff,58890,7257
1959,Senior Staff,58820,7085
1960,Senior Staff,58307,7058
1961,Senior Staff,58570,7040
1962,Senior Staff,58566,7003
1963,Senior Staff,58548,7308
1964,Senior Staff,58249,7144
1965,Senior Staff,56996,633
1956,Staff,58575,3257
1957,Staff,58537,3200
1958,Staff,59022,3145
1959,Staff,58434,3223
1960,Staff,58285,3206
1961,Staff,58738,3140
1962,Staff,58772,3172
1963,Staff,57843,3071
1964,Staff,58008,3203
1965,Staff,58891,271
1956,Technique Leader,49038,1238
1957,Technique Leader,48956,1197
1958,Technique Leader,49062,1191
1959,Technique Leader,48543,1176
1960,Technique Leader,48842,1198
1961,Technique Leader,48699,1208
1962,Technique Leader,48297,1156
1963,Technique Leader,48478,1107
1964,Technique Leader,48580,1083
1965,Technique Leader,47302,99
1952,Assistant Engineer,48809,416
1953,Assistant Engineer,49258,459
1954,Assistant Engineer,48084,428
1955,Assistant Engineer,47950,458
1952,Engineer,48523,3333
1953,Engineer,48514,3595
1954,Engineer,48444,3678
1955,Engineer,48507,3616
1952,Manager,48077,1
1955,Manager,71148,1
1952,Senior Engineer,48553,6921
1953,Senior Engineer,48422,7299
1954,Senior Engineer,48402,7535
1955,Senior Engineer,48507,7659
1952,Senior Staff,58823,6635
1953,Senior Staff,58006,7228
1954,Senior Staff,58122,7187
1955,Senior Staff,58727,7204
1952,Staff,58469,2841
1953,Staff,58166,3103
1954,Staff,58271,3243
1955,Staff,58468,3056
1952,Technique Leader,48284,1062
1953,Technique Leader,48434,1173
1954,Technique Leader,48274,1157
1955,Technique Leader,48072,1110
